Player,Mat,Inns,Not_Outs,Runs,HS,Ave,BF,SR,hundreds,fifties,Ducks,fours,sixes
JM Davison (Can),2,2,0,73,41,36.5,85,86,0,0,0,10,1
JM How (NZ),16,14,0,413,139,29.5,563,73,1,1,2,41,4
JP Duminy (SA),30,25,7,787,90,43.72,959,82,0,5,1,53,8
JPR Lamsam (HK),1,1,0,16,16,16,30,53,0,0,0,3,0
JR Hopes (Aus),48,38,5,760,63,23.03,884,86,0,2,1,70,5
JS Patel (NZ),12,5,4,31,16,31,44,70,0,0,0,1,1
Junaid Siddique (Bang),26,25,0,459,85,18.36,732,63,0,2,5,51,1
K Jethi (Can),3,3,1,87,46,43.5,79,110,0,0,0,10,3
K Weeraratne (SL),4,4,0,119,41,29.75,125,95,0,0,0,6,2
KA Pollard (WI),14,12,0,137,42,11.41,158,87,0,0,2,5,7
KAJ Roach (WI),7,4,0,17,10,4.25,32,53,0,0,1,1,0
KC Hodsoll (Ber),2,1,0,0,0,0,2,0,0,0,1,0,0
KC Sangakkara (SL),49,48,3,1643,128,36.51,2208,74,4,8,2,162,3
KD Karthik (India),7,6,0,172,67,28.66,238,72,0,1,0,17,2
KD Mills (NZ),36,20,4,290,54,18.12,328,88,0,1,2,24,10
KH Butt (HK),2,2,0,8,4,4,28,29,0,0,0,0,0
KJ Coetzer (Scot),4,4,0,81,44,20.25,111,73,0,0,1,14,1
KJ O'Brien (Ire),15,11,2,311,89,34.55,407,76,0,2,0,25,10
KM Dabengwa (Zim),15,15,2,234,45,18,397,59,0,0,2,16,5
KM Jarvis (Zim),8,4,2,6,6,3,25,24,0,0,2,0,0
KMDN Kulasekara (SL),42,30,14,347,57,21.68,468,74,0,1,3,20,8
KO Otieno (Kenya),14,13,0,333,78,25.61,523,64,0,2,0,36,5
KOA Powell (WI),2,2,0,5,5,2.5,16,31,0,0,1,1,0
KP Pietersen (Eng),26,22,3,738,111,38.84,871,85,2,3,1,66,13
KTGD Prasad (SL),2,2,0,9,8,4.5,39,23,0,0,0,0,0
Kamran Akmal (Pak),34,28,3,847,116,33.88,913,93,2,2,1,100,14
Karim Khan (Afgh),1,1,0,20,20,20,22,91,0,0,0,1,2
Khalid Latif (Pak),4,3,0,128,64,42.66,206,62,0,1,0,10,0
Khaliq Dad (Afgh),1,1,0,0,0,0,1,0,0,0,1,0,0
